"name","asset_tag","serial_number","location","u_building","u_room","u_floor","po_number","u_scheduled_retirement","u_last_rounded_date","u_device_rounding","u_department_location"
"LD090429","HSS-1045297","49FB9W3","VIHA-CDH-Cowichan District Hospital-Main Building-2nd Floor","Main Building","(TBD)","2","REQ1211700-RITM1276300-SCTASK2054031","02/29/2028","05/07/2025","General Rounding",""
"LD090433","HSS-1045298","FYS89W3","VIHA-LMH-Lady Minto Hospital-Main Building-1st Floor","Main Building","109","1","REQ1214081-RITM1278853-SCTASK2054241","02/29/2028","07/18/2025","General Rounding",""
"LD090686","HSS-1046306","76STTW3","VIHA-DNDR-Duncan Norcross & Drinkwater Road-Main Building-2nd Floor","Main Building","259 (WFH)","2","REQ1278081-RITM1347602-SCTASK2166221","05/31/2028","","Excluded","(TBD)"
"LD090789","HSS-1046689","22LVCW3","VIHA-CDH-Cowichan District Hospital-Main Building-2nd Floor","Main Building","2043 (2nd Floor Day Room)","2","REQ1317299-RITM1389292-SCTASK2234773","06/30/2028","07/04/2025","General Rounding","Medicine"
"LD090796","HSS-1046663","34LVCW3","VIHA-DNDR-Duncan Norcross & Drinkwater Road-Main Building-2nd Floor","Main Building","267","2","REQ1317071-RITM1388969-SCTASK2239256","06/30/2028","06/18/2025","General Rounding","(TBD)"
"LD090797","HSS-1046693","JBRVCW3","VIHA-DNDR-Duncan Norcross & Drinkwater Road-Main Building-2nd Floor","Main Building","258","2","REQ1323582-RITM1395901-SCTASK2239331","06/30/2028","06/18/2025","General Rounding","(TBD)"
"LD090799","HSS-8089644","9CRHVW3","VIHA-MIHU-Mayne Island Health Unit-Main Building-1st Floor","Main Building","admin","1","VIHATRP20240909-014","10/31/2028","12/13/2024","General Rounding","Peninsula HUB & Gulf Islds CHS"
"LD090818","HSS-1046823","9T7XCW3","VIHA-DNDR-Duncan Norcross & Drinkwater Road-Main Building-2nd Floor","Main Building","203 c/o Melissa Manson","2","REQ1331512-RITM1404244-SCTASK2254835","06/30/2028","","General Rounding","Ultrasound"
"LD090908","HSS-1047015","1TVQCW3","VIHA-DNDR-Duncan Norcross & Drinkwater Road-Main Building-2nd Floor","Main Building","215","2","REQ1348876-RITM1422628-SCTASK2284519","06/30/2028","08/11/2025","General Rounding","(TBD)"
"LD091086","HSS-1047427","6B3SCW3","VIHA-CDH-Cowichan District Hospital-Main Building-Basement 1","Main Building","G027 (Hospital At Home) (Marked as Spare)","G","REQ1398940-RITM1475761-SCTASK2379599","09/30/2028","02/05/2025","General Rounding","Hospital At Home"
"LD091087","HSS-1047428","93HSCW3","VIHA-CDH-Cowichan District Hospital-Main Building-Basement 1","Main Building","G027 (Hospital At Home)","G","REQ1398944-RITM1475765-SCTASK2379615","09/30/2028","04/24/2025","General Rounding","Hospital At Home"
"LD091422","HSS-1048186","8C12WH3","VIHA-CDH-Cowichan District Hospital-Main Building-2nd Floor","Main Building","2044","2","REQ1486445-RITM1568275-SCTASK2528648","10/31/2028","06/06/2025","General Rounding",""
"LD091423","HSS-1048185","CY62WH3","VIHA-LCHC-Ladysmith Community Health Centre-Main Building-1st Floor","Main Building","WFH G20","1","REQ1485423-RITM1567203-SCTASK2528696","10/31/2028","","Excluded",""
"LD091424","HSS-1048187","2G83WH3","VIHA-DNDR-Duncan Norcross & Drinkwater Road-Main Building-2nd Floor","Main Building","Attention Jody (207)","2","REQ1483386-RITM1565064-SCTASK2528703","10/31/2028","04/11/2025","General Rounding",""
"LD091552","HSS-8079582","7JBYFY3","VIHA-DNDR-Duncan Norcross & Drinkwater Road-Main Building-2nd Floor","","217","2","REQ1504167-RITM1586949-SCTASK2576604","11/30/2027","","",""
"LD091576","HSS-1048450","46R2WH3","VIHA-CDH-Cowichan District Hospital-Main Building-3rd Floor","Main Building","3060 (CSO Office)(In Box)","3","REQ1511193-RITM1594268-SCTASK2595248","12/31/2028","08/25/2025","General Rounding","Medical / Surgical Care"
"LD091622","HSS-1048660","8ZGWVH3","VIHA-LCHC-Ladysmith Community Health Centre-Main Building-1st Floor","Main Building","129","1","REQ1542806-RITM1627654-SCTASK2623783","12/31/2028","","General Rounding",""
"LD091678","HSS-1049390","8WS3WH3","VIHA-CDH-Cowichan District Hospital-Main Building-1st Floor","Main Building","1045 (Hallway)(Collection Cart #6)","1","REQ1584125-RITM1671487-SCTASK2706786","12/31/2028","08/21/2025","General Rounding","Laboratory"
"LD091679","HSS-1049387","6ZY3WH3","VIHA-CDH-Cowichan District Hospital-Main Building-1st Floor","Main Building","1045 (Hallway)(Collection Cart #2)","1","REQ1582468-RITM1669719-SCTASK2706815","12/31/2028","08/21/2025","General Rounding","Laboratory"
"LD091680","HSS-1049386","BDH4WH3","VIHA-CDH-Cowichan District Hospital-Main Building-1st Floor","Main Building","1045 (Hallway)(Collection Cart #1)","1","REQ1582468-RITM1669722-SCTASK2706886","12/31/2028","08/21/2025","General Rounding","Laboratory"
"LD091756","HSS-1049960","89Z3WH3","VIHA-CDH-Cowichan District Hospital-Main Building-1st Floor","Main Building","1069 (Ophthalmology OR)","1","REQ1627806-RITM1717749-SCTASK2774304","12/31/2028","08/21/2025","General Rounding","Operating Rooms"
"LD091843","HSS-1110717","HYNHX64","VIHA-CDH-Cowichan District Hospital-Main Building-Basement 1","Main Building","G027 (Hospital at Home)","G","REQ1707902-RITM1802503-SCTASK2891182","03/31/2029","","General Rounding","Hospital At Home"
"LD091857","HSS-1110909","8SBSFW3","VIHA-DGSHC-Duncan Government Street Health Centre-Main Building-1st Floor","Main Building","11","1","REQ1724678-RITM1820132-SCTASK2923642","03/31/2029","05/01/2025","General Rounding",""
"LD100017","HSS-1037987","1VMDLN3","VIHA-DJS-Duncan Jubilee Street-Main Building-1st Floor","Main Building","RM6 ( Kirsten's Office)","1","REQ0672719-RITM0706724-SCTASK1169763","02/28/2027","","Excluded","Work From Home"
"LD100074","HSS-1039114","BMP3NN3","VIHA-CLRC-Cowichan Lodge-Main Building-1st Floor","Main Building","B44","1","REQ0746289-RITM0784137-SCTASK1243585","02/28/2027","02/28/2025","General Rounding","Mental Health and Substance Abuse"
"LD100075","HSS-1039115","8RC4NN3","VIHA-CLRC-Cowichan Lodge-Main Building-1st Floor","Main Building","B44","1","REQ0746304-RITM0784152-SCTASK1243613","02/28/2027","02/28/2025","General Rounding","Mental Health and Substance Abuse"
"LD100094","HSS-1039335","10C9LN3","VIHA-LCHC-Ladysmith Community Health Centre-Main Building-1st Floor","Main Building","WFH - Kerstin Lewis","1","REQ0757004-RITM0795394-SCTASK1267108","02/28/2027","06/11/2024","Excluded","(TBD)"
"LD100213","HSS-1040511","5KF3NN3","VIHA-DMHC-Duncan Mental Health Centre-Main Building-1st Floor","Main Building","Reception","1","REQ0814909-RITM0856161-SCTASK1350400","02/28/2027","","General Rounding","Mental Health and Substance Abuse"
"LD100273","HSS-1041211","HL24NN3","VIHA-DNDR-Duncan Norcross & Drinkwater Road-Main Building-2nd Floor","Main Building","262 (W148) Sue Kurucz","2","REQ0846736-RITM0889494-SCTASK1410517","05/31/2027","06/18/2025","General Rounding","Interim Area Director"
"LD100352","HSS-1041828","J0W1NN3","VIHA-DMHC-Duncan Mental Health Centre-Main Building-1st Floor","Main Building","1","1","REQ0875323-RITM0919895-SCTASK1473972","05/31/2027","","General Rounding",""
"LD100444","HSS-1042772","64QYHW3","VIHA-CDH-Cowichan District Hospital-Main Building-1st Floor","Main Building","1092 (Medical Imaging Booking)","1","REQ0959216-RITM1008861-SCTASK1603993","07/31/2026","08/21/2025","General Rounding","Medical Imaging"
"LD100511","HSS-1043476","46PY4X3","VIHA-CDH-Cowichan District Hospital-Main Building-1st Floor","Main Building","1017 (OR Purchasing Office)","1","REQ1027649-RITM1081273-SCTASK1726866","08/31/2027","07/04/2025","General Rounding","MDRD"
"LD100517","HSS-1043511","D0RY4X3","VIHA-DGSHC-Duncan Government Street Health Centre-Main Building-1st Floor","Main Building","6","1","REQ1031779-RITM1085653-SCTASK1731471","08/31/2027","08/29/2025","General Rounding","Geriatric Specialty Services"
"LD100518","HSS-1043510","5MTY4X3","VIHA-DSS-Duncan Station Street-Main Building-2nd Floor","Main Building","Float Station #3","2","REQ1031797-RITM1085671-SCTASK1731718","08/31/2027","08/29/2025","General Rounding","Geriatric Specialty Services"
"LD100593","HSS-1043775","5BVJ5X3","VIHA-DNDR-Duncan Norcross & Drinkwater Road-Main Building-1st Floor","Main Building","WFH - Joanne Rife","1","REQ1046314-RITM1101023-SCTASK1784183","10/31/2027","09/19/2023","Excluded","CHS - Community Health Services"
"LD100608","HSS-1043912","3JLHFY3","VIHA-CDH-Cowichan District Hospital-Main Building-Basement 1","Main Building","G027 (Hospital At Home - Office)","G","REQ1074653-RITM1130825-SCTASK1812351","10/31/2027","05/13/2025","General Rounding","Hospital At Home"
"LD100609","HSS-1043914","DJ1Q8Y3","VIHA-CDH-Cowichan District Hospital-Main Building","1st Admin trailer","WFH (Angelene Soldan)","1","REQ1071394-RITM1127409-SCTASK1812381","10/31/2027","10/04/2023","Excluded","Administration"
"LD100671","HSS-1043824","JFFRGY3","VIHA-CLRC-Cowichan Lodge-Main Building-1st Floor","D Wing","D094","1","REQ1072240-RITM1128301-SCTASK1800450","10/31/2027","04/04/2025","General Rounding","Mental Health ACT Process Support"
"LD100677","HSS-1043843","7J6Q8Y3","VIHA-DWRC-Duncan Wellness and Recovery Centre-Main Building-1st Floor","Main Building","310 (Outreach Team)","3","REQ1065174-RITM1120765-SCTASK1801703","10/31/2027","06/06/2025","General Rounding","SUIT - Substance Use Integrated Team"
"LD100780","HSS-1044015","JBMRDY3","VIHA-DNDR-Duncan Norcross & Drinkwater Road-Main Building-2nd Floor","Main Building","261 (W149) - Emma James","2","REQ1091282-RITM1148633-SCTASK1832197","10/31/2027","06/18/2025","General Rounding","Clinical Service Delivery - Executive Director"
"LD100856","HSS-1044152","DFPYFY3","VIHA-CDH-Cowichan District Hospital-Main Building-Basement 1","Main Building","G027 (Hospital At Home)","G","REQ1107335-RITM1165385-SCTASK1861832","11/30/2027","04/24/2025","General Rounding","Hospital At Home"
"LD100859","HSS-1044153","GFPYFY3","VIHA-CDH-Cowichan District Hospital-Main Building-Basement 1","Main Building","G027 (Hospital At Home)","G","REQ1107308-RITM1165358-SCTASK1861844","11/30/2027","05/13/2025","General Rounding","Hospital At Home"
"LD100861","HSS-1044154","BTK0FY3","VIHA-CDH-Cowichan District Hospital-Main Building-Basement 1","Main Building","G027 (Hospital at Home)","G","REQ1107259-RITM1165307-SCTASK1861918","11/30/2027","05/13/2025","General Rounding","Hospital At Home"
"LD100912","HSS-1044224","41CHDY3","VIHA-DNDR-Duncan Norcross & Drinkwater Road-Main Building-2nd Floor","Main Building","WFH","2","REQ1105422-RITM1163399-SCTASK1868261","11/30/2027","11/02/2023","Excluded","ACC Clinical Ops"
"LD100933","HSS-1044254","9YWZFY3","VIHA-DNDR-Duncan Norcross & Drinkwater Road-Main Building-2nd Floor","Main Building","WFH","2","REQ1114725-RITM1173220-SCTASK1875478","11/30/2027","12/20/2023","Excluded","WFH"
"LD100946","HSS-1044305","J6MRDY3","VIHA-CDH-Cowichan District Hospital-Main Building-Basement 1","Main Building","WFH","G","REQ1117384-RITM1175988-SCTASK1884731","11/30/2027","04/23/2024","Excluded"," "
"LD100978","HSS-1044335","1CGRGY3","VIHA-CDH-Cowichan District Hospital-Main Building-Basement 1","Main Building","WFH","G","REQ1123935-RITM1182964-SCTASK1892019","11/30/2027","11/14/2023","Excluded",""
"LD100991","HSS-1044300","7TWZFY3","VIHA-DNDR-Duncan Norcross & Drinkwater Road-Main Building-2nd Floor","Main Building","261","2","REQ1118592-RITM1177259-SCTASK1883911","11/30/2027","06/18/2025","General Rounding","Campbell River ACT"
"LD101111","HSS-1044644","8NC2SV3","VIHA-CDH-Cowichan District Hospital","Main","WFH - Jo Lemay (301)","3","REQ1141460-RITM1201770-SCTASK1928382","12/31/2027","12/07/2023","Excluded","MCS LHS Facilitator"
"LD101308","HSS-1045133","GBZ89W3","VIHA-MMHU-Margaret Moss Building-Main Building-Basement 1","Main Building","16 (Hillary - WFH Sometimes)","G","REQ1204238-RITM1268288-SCTASK2027651","02/29/2028","03/17/2025","General Rounding","Public Health"
"LD101346","HSS-8093117","3KYHX64","VIHA-CLRC-Cowichan Lodge-Main Building-1st Floor","Main Building","D097 (Catherine Rousselle)","1st Floor","ISLHTRP20250421-039","03/31/2029","","General Rounding","Human Resource Corporate Admin"
"LD101458","HSS-1046542","5ZKVCW3","VIHA-DNDR-Duncan Norcross & Drinkwater Road-Main Building-1st Floor","Cornation Street Building","220 (574 Cornation Street)","2","REQ1298054-RITM1368826-SCTASK2196411","06/30/2028","04/11/2025","General Rounding","CHS - Community Health Services (Steps)"
"LD101913","HSS-1046296","FR3WTW3","VIHA-CDH-Cowichan District Hospital-Main Building-2nd Floor","Main Building","2043 (2nd Floor Day Room)","2","REQ1276441-RITM1345831-SCTASK2160580","05/31/2028","07/11/2025","General Rounding","Medicine"
"LD102443","HSS-1047244","75MQCW3","VIHA-DNDR-Duncan Norcross & Drinkwater Road-Main Building-1st Floor","Main Building","125","1","REQ1382275-RITM1458048-SCTASK2339360","09/30/2028","07/25/2025","General Rounding",""
"LD102500","HSS-1047359","70WQCW3","VIHA-DNDR-Duncan Norcross & Drinkwater Road-Main Building-2nd Floor","Main Building","202 (W152)","2","REQ1383404-RITM1459254-SCTASK2360853","09/30/2028","06/04/2025","General Rounding","CDH RP"
"LD102665","HSS-1047780","16RHVW3","VIHA-DNDR-Duncan Norcross & Drinkwater Road-Main Building-2nd Floor","Main Building","202","2","REQ1424043-RITM1502256-SCTASK2431533","10/31/2028","","General Rounding",""
"LD102985","HSS-1048191","5PNWVH3","VIHA-DGSHC-Duncan Government Street Health Centre-Main Building-1st Floor","Main Building","?","1","REQ1492914-RITM1575103-SCTASK2536216","10/31/2028","03/28/2025","General Rounding",""
"LD104059","HSS-1048512","FQ62WH3","VIHA-CDH-Cowichan District Hospital-Main Building-Basement 1","Main Building","G047 WFH","G","REQ1533422-RITM1617709-SCTASK2604336","12/31/2028","04/18/2025","Excluded","FMO"
"LD104191","HSS-1049341","G6R2WH3","VIHA-CDH-Cowichan District Hospital-Main Building-1st Floor","Main Building","1045 (Hallway)(Collection Cart #5)","1","REQ1584125-RITM1671488-SCTASK2705927","12/31/2028","08/21/2025","General Rounding","Laboratory"
"LD104406","HSS-1049612","98D2WH3","VIHA-CLRC-Cowichan Lodge-Main Building-1st Floor","Main Building","Colleen Davis office to change soon","1","REQ1620936-RITM1710393-SCTASK2747622","12/31/2028","","General Rounding",""
"LD104527","HSS-1049963","HF93WH3","VIHA-CDH-Cowichan District Hospital-Main Building-2nd Floor","Main Building","2N (LDR Med Room Area)","2","REQ1627806-RITM1717752-SCTASK2775872","12/31/2028","07/04/2025","General Rounding","Maternity"
"LD105079","HSS-1111233","B8MTFW3","VIHA-CPRC-Cairnsmore Place (CDH)","Main","59","1","REQ1716138-RITM1811177-SCTASK2917199","03/31/2029","","",""
"LD105411","HSS-1111590","FT0JX64","VIHA-CDH-Cowichan District Hospital-Main Building-Basement 1","Trailer 1","Trailer 1 (Admin Office)","G","REQ1779702-RITM1878285-SCTASK3044763","03/31/2029","","General Rounding",""
"LD105554","HSS-1973710","9D0N5G3","VIHA-CDH-Cowichan District Hospital","Main Building","104 (OR Booking)","1","REQ1805213-RITM1905357-SCTASK3098680","01/31/2026","03/08/2023","",""
"LD105611","HSS-1973965","2N916G3","VIHA-CDH-Cowichan District Hospital-Main Building-1st Floor","Main Building","1118A (Tyler Smith)","1","REQ1830658-RITM1932094-SCTASK3116920","01/31/2026","09/19/2025","General Rounding","Emergency"
"LD105785","HSS-1034756","3S7R9K3","VIHA-LMH-Lady Minto Hospital-Main Building-1st Floor","Main Building","RM# 103","1","REQ1881576-RITM1985849-SCTASK3200144","08/31/2026","","General Rounding",""
"LHURGENT","C002415","129462","VIHA-LCHC-Ladysmith Community Health Centre-Main Building-1st Floor","Urgent Care","Med Room","","","","","Excluded",""
"LMACUTE","C002423","130081","VIHA-LMH-Lady Minto Hospital","","180","","","","","Excluded",""
"LMED","C006314","236832","VIHA-LMH-Lady Minto Hospital-Main Building-1st Floor","Main Building","203C","1","","","","Excluded","Emergency"
"LMH-CCETS-PROD01","","SA22804127","VIHA-LMH-Lady Minto Hospital-Main Building-Basement 1","","","","","","","",""
"LMH-SRSV","","","VIHA-LMH-Lady Minto Hospital","","","","","","","Excluded",""
"LMH-UCSE","","FOC18325LS0","VIHA-LMH-Lady Minto Hospital","","","","","","","Excluded",""
"PC020266","HSS-8083183","2W9SG04","VIHA-CDH-Cowichan District Hospital-Main Building-2nd Floor","Main Building","2S (Nurse Station - Round Table)","2","VIHATRP20240205-082","03/31/2028","07/04/2025","General Rounding","CDH 2nd Floor South"
"PC021150","HSS-8080347","31BVPR3","VIHA-CLRC-Cowichan Lodge-Main Building-1st Floor","Main Building","B38","1","VIHATRP20231113-051","06/30/2027","02/28/2025","General Rounding"," "
"PC021582","HSS-8078936","9Q6VPR3","VIHA-CDH-Cowichan District Hospital-Main Building-1st Floor","Main Building","1113 (CRT Room)","1","VIHATRP20231003-072","06/30/2027","08/08/2025","General Rounding","Emergency"
"PC021896","HSS-8080345","CX9VPR3","VIHA-CLRC-Cowichan Lodge-Main Building-1st Floor","Main Building","B40","1","VIHATRP20231113-049","06/30/2027","02/28/2025","General Rounding","(TBD)"
"PC021897","HSS-8077165","6LMVPR3","VIHA-CLRC-Cowichan Lodge-Main Building-1st Floor","Main Building","B38","1","VIHATRP20230807-016","06/30/2027","02/28/2025","General Rounding","ACT Team"
"PC021898","HSS-8077167","6QMVPR3","VIHA-CLRC-Cowichan Lodge-Main Building-1st Floor","Main Building","B40","1","VIHATRP20230807-018","06/30/2027","02/28/2025","General Rounding","Mental Health & Substance Abuse"
"PC021899","HSS-8077166","7M6VPR3","VIHA-CLRC-Cowichan Lodge-Main Building-1st Floor","Main Building","B39","1","VIHATRP20230807-017","06/30/2027","02/28/2025","General Rounding","ACT Team"
"PC021907","HSS-8070582","4CDLPR3","VIHA-CPRC-Cairnsmore Place (CDH)-Main Building-1st Floor","Old Building","RM# 38 (Reception)","1","VIHATRP20230109-023","02/28/2027","03/13/2025","General Rounding","Nursing"
"PC021953","HSS-8078944","5Q6VPR3","VIHA-CDH-Cowichan District Hospital-Main Building-1st Floor","Main Building","1098 (X-Ray Tech Room 3)","1","VIHATRP20231003-080","06/30/2027","08/08/2025","General Rounding","Medical Imaging"
"PC022562","HSS-8069168","5YFQQN3","VIHA-MBRC-Mill Bay Radiology Centre-Main Building-1st Floor","Main Building","Ultrasound Room","1","VIHATRP20221128-071","01/31/2027","05/01/2025","General Rounding","Medical Imaging"
"PC022564","HSS-8078896","36YVPR3","VIHA-CDH-Cowichan District Hospital-Main Building-1st Floor","Main Building","1083 (Outside CT Tech Station)","1","VIHATRP20231003-031","06/30/2027","07/04/2025","Critical Clinical","Medical Imaging"
"PC022565","HSS-8091127","98BQK44","VIHA-CDH-Cowichan District Hospital-Main Building-1st Floor","Main Building","1083 (CT Tech Station)","1","VIHATRP20241111","12/31/2028","08/21/2025","General Rounding","Medical Imaging"
"PC022971","HSS-8078068","10VVPR3","VIHA-CHCC-Chemainus Health Care Centre-Main Building-1st Floor","Main Building","Urgent Care (Physician Desk)","1","VIHATRP20230904-003","06/30/2027","06/26/2025","General Rounding","Emergency"
"PC023460","HSS-8088997","JG67D14","VIHA-LCHC-Ladysmith Community Health Centre-Main Building-1st Floor","Main Building","104","1st Floor","VIHATRP20240806-006","09/30/2028","","","North Cowichan Comm Hlth Serv"
"PC023521","HSS-8083127","C1W13Z3","VIHA-CLRC-Cowichan Lodge-Main Building-1st Floor","Main Building","B28","1","VIHATRP20240205-026","03/31/2028","02/28/2025","General Rounding","(TBD)"
"PC023522","HSS-8083132","H0W13Z3","VIHA-CLRC-Cowichan Lodge-Main Building-1st Floor","Main Building","B31","1","VIHATRP20240205-031","03/31/2028","02/28/2025","General Rounding","(TBD)"
"PC023523","HSS-8083129","2YV13Z3","VIHA-CLRC-Cowichan Lodge-Main Building-1st Floor","Main Building","B28","1","VIHATRP20240205-028","03/31/2028","02/28/2025","General Rounding","(TBD)"
"PC023524","HSS-8080350","HZ9VPR3","VIHA-CLRC-Cowichan Lodge-Main Building-1st Floor","Main Building","B32 (Staff Scheduling)","1","VIHATRP20231113-054","06/30/2027","02/28/2025","General Rounding","Staffing"
"PC023546","HSS-8086814","DSX6724","VIHA-CLRC-Cowichan Lodge-Main Building-1st Floor","Main Building","B49","1","VIHATRP20240520-024","06/30/2028","02/28/2025","General Rounding","Region 3 Scheduling Duncan"
"PC023727","HSS-8086847","G4S7D14","VIHA-CDH-Cowichan District Hospital-Main Building-3rd Floor","Main Building","3031 (Nurse Station - Back Office)","3","VIHATRP20240520-053","06/30/2028","09/12/2025","General Rounding","CDH 3rd Floor South"
"PC023728","HSS-8086846","65S7D14","VIHA-CDH-Cowichan District Hospital-Main Building-3rd Floor","Main Building","3031 (Nurse Station - Back Office)","3","VIHATRP20240520-052","06/30/2028","08/25/2025","General Rounding","CDH 3rd Floor South"
"PC023796","HSS-8027394","DRW6VH3","VIHA-CDH-Cowichan District Hospital-Main Building-1st Floor","Main Building","1091 (Reception)","1","VIHATRP20220314-049","07/31/2026","08/21/2025","Critical Clinical","Medical Imaging"
"PC026018","HSS-8025649","5HF0FF3","VIHA-CDH-Cowichan District Hospital-Main Building-3rd Floor","Main Building","3330 (Oncology Physician)","3","VIHATRP20211129-042","07/31/2026","08/22/2025","General Rounding","Cancer Care"
"PC026624","HSS-8091676","J6BQK44","VIHA-SSMHSU-Salt Spring Mental Health Substance Use Services-Main Building-1st Floor","Lancer Building","Phyc Swing (Floor 1)","1","VIHATRP20241216-004","12/31/2028","02/28/2025","Critical Clinical","Mental Health & Substance Abuse"
"PC026852","HSS-8080314","H2FVPR3","VIHA-DWRC-Duncan Wellness and Recovery Centre-Main Building-1st Floor","Main Building","310 (Outreach Team)","3","VIHATRP20231113-018","06/30/2027","03/28/2025","General Rounding","SUIT - Substance Use Integrated Team"
"PC026856","HSS-8090459","HKX4L44","VIHA-SSMHSU-Salt Spring Mental Health Substance Use Services-Main Building-1st Floor","Lancer Building","201 - (Admin Section A)","2","VIHATRP20241007-061","11/30/2028","09/10/2025","General Rounding","Mental Health & Substance Abuse"
"PC027143","HSS-8084856","GND4X04","VIHA-LMH-Lady Minto Hospital-Main Building-1st Floor","Main Building","Main Nurse Station (Security Camera PC)","1","VIHATRP20240325-063","04/30/2028","07/18/2025","General Rounding","(TBD)"
"PC027452","HSS-8065655","9R33XP3","VIHA-CLRC-Cowichan Lodge-Main Building-1st Floor","Main Building","B32 (Staff Scheduling)","1","VIHATRP20220815-124","12/31/2026","02/28/2025","General Rounding","Staffing"
"PC028495","HSS-8083155","6T9SG04","VIHA-DWRC-Duncan Wellness and Recovery Centre-Main Building-1st Floor","Main Building","310 (Outreach Team)","3","VIHATRP20240205-054","03/31/2028","06/06/2025","General Rounding","SUIT - Substance Use Integrated Team"
"PC028549","HSS-8065671","7TQ5XP3","VIHA-CLRC-Cowichan Lodge-Main Building-1st Floor","Main Building","B46","1","VIHATRP20220815-140","12/31/2026","02/28/2025","General Rounding","(TBD)"
"PC028550","HSS-8065650","9QQ5XP3","VIHA-CLRC-Cowichan Lodge-Main Building-1st Floor","Main Building","B28 (Kari)","1","VIHATRP20220815-119","12/31/2026","02/28/2025","General Rounding","Staffing"
"PC028837","HSS-8090456","GJX4L44","VIHA-SSMHSU-Salt Spring Mental Health Substance Use Services-Main Building-1st Floor","Lancer Building","202 - Reception (Section A)","2","VIHATRP20241007-058","11/30/2028","02/28/2025","General Rounding","Mental Health & Substance Abuse"
"PC029018","HSS-8070572","HQYMPR3","VIHA-CDH-Cowichan District Hospital-Main Building-4th Floor","Main Building","4019 (Patient Care Coordinator)","4","VIHATRP20230109-013","02/28/2027","09/18/2025","General Rounding","Psychiatry"
"PC029227","HSS-8070566","GFRMPR3","VIHA-CDH-Cowichan District Hospital-Main Building-3rd Floor","Main Building","3N (Nurse Station)(7/24)","3","VIHATRP20230109-007","02/28/2027","09/12/2025","Critical Clinical","Medical / Surgical Care"
"PC029253","HSS-8070632","50HKPR3","VIHA-CDH-Cowichan District Hospital-Main Building-1st Floor","Main Building","1128 (Physicians Station)","1","VIHATRP20230109-073","02/28/2027","09/19/2025","General Rounding","Emergency"
"PC029581","HSS-8077163","JPMVPR3","VIHA-CLRC-Cowichan Lodge-Main Building-1st Floor","Main Building","Sunroom (Admin Area)","1","VIHATRP20230807-014","06/30/2027","02/28/2025","General Rounding","Cowichan Home Support"
"PC029682","HSS-8077161","5QMVPR3","VIHA-DMHC-Duncan Mental Health Centre-Main Building-1st Floor","Main Building","Office 30 Trailer","1","VIHATRP20230807-012","06/30/2027","","General Rounding","ACSS"
"PC029686","HSS-8080315","9Z9VPR3","VIHA-DWRC-Duncan Wellness and Recovery Centre-Main Building-1st Floor","Main Building","311 (Clinical Coordinator)","3","VIHATRP20231113-019","06/30/2027","05/30/2025","General Rounding","SUIT - Substance Use Integrated Team"
"PC029982","HSS-8073832","6401KQ3","VIHA-LMH-Lady Minto Hospital-Lionel Beach Annex-1st Floor","Annex Building","112 (Clinic Room)","1","VIHATRP20230424-006","06/30/2027","06/05/2025","General Rounding","Community Health Services"
"PC029983","HSS-8073830","B301KQ3","VIHA-LMH-Lady Minto Hospital-Lionel Beach Annex-2nd Floor","Annex Building","225 (Home Care Nursing)","2","VIHATRP20230424-004","06/30/2027","07/18/2025","General Rounding","Nursing SSI"
"PC030198","HSS-8086792","28X8D14","VIHA-CDH-Cowichan District Hospital-Main Building-1st Floor","Main Building","1014 (Echo Lab)","1","VIHATRP20240520-002","06/30/2028","08/08/2025","Critical Clinical","Echocardiography"
"PC030199","HSS-8086798","D9X8D14","VIHA-CDH-Cowichan District Hospital-Main Building-1st Floor","Main Building","1014 (Echo Lab)","1","VIHATRP20240520-008","06/30/2028","08/08/2025","General Rounding","Echocardiography"
"PC030418","HSS-8027413","8GS6VH3","VIHA-CDH-Cowichan District Hospital-Main Building-Basement 1","Main Building","G002 (Housekeeping)","G","VIHATRP20220314-068","07/31/2026","01/10/2025","General Rounding","Housekeeping"
"PC030472","HSS-8083160","FR6SG04","VIHA-CDH-Cowichan District Hospital-Main Building-2nd Floor","Main Building","2S (Nurse Station - Front)","2","VIHATRP20240205-059","03/31/2028","07/04/2025","General Rounding","CDH 2nd Floor South"
"PC030473","HSS-8070597","64KMPR3","VIHA-FHMH-Floral House Mental Health-Main Building-1st Floor","Main Building","1","1","VIHATRP20230109-038","02/28/2027","06/03/2025","General Rounding","(TBD)"
"PC030536","HSS-8026062","5HLVDF3","VIHA-CDH-Cowichan District Hospital-Main Building-1st Floor","Main Building","1018 (Health Records)","1","VIHATRP20220103-043","05/31/2026","08/08/2025","General Rounding","Medical Records"
"PC030537","HSS-8086797","2RX6724","VIHA-CDH-Cowichan District Hospital-Main Building-1st Floor","Main Building","1045 (Lab Core)","1","VIHATRP20240520-007","06/30/2028","08/21/2025","General Rounding","Laboratory"
"PC030735","HSS-8077187","7KMVPR3","VIHA-CDH-Cowichan District Hospital-Main Building-3rd Floor","Main Building","3057 (Unit Clerk)","3","VIHATRP20230807-039","06/30/2027","08/22/2025","General Rounding","Medical / Surgical Care"
"PC030821","HSS-8024936","GTZSDF3","VIHA-CPRC-Cairnsmore Place (CDH)-Main Building-1st Floor","Old Building","RM# 42 (Nursing Station)","1","VIHATRP20211025-041","03/31/2026","03/13/2025","General Rounding","Nursing"
